,Algorithm,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
VIA,Scrypt,ViaCoin,ViaCoin (VIA),0,5015,/media/20070/via.png,VIA,N/A,PoW,229,False,VIA,23000000,N/A,/coins/via/overview
VIB,N/A,Viberate,Viberate (VIB),0,198710,/media/1383893/vib.png,VIB,N/A,N/A,1408,False,VIB,200000000,N/A,/coins/vib/overview
VIBE,N/A,VIBEHub,VIBEHub (VIBE),0,336538,/media/12318267/vibe.png,VIBE,N/A,N/A,1668,False,VIBE,267000000,N/A,/coins/vibe/overview
VIC,Dagger-Hashimoto,Victorium,Victorium (VIC),0,851066,/media/30002111/vic.jpg,VIC,N/A,PoW,2590,False,VIC,N/A,N/A,/coins/vic/overview
VIDZ,PoS,PureVidz,PureVidz (VIDZ),0,38964,/media/1382172/vidz.png,VIDZ,N/A,PoS,1013,False,VIDZ,125000000,N/A,/coins/vidz/overview
VIEW,N/A,Viewly,Viewly (VIEW),0,838344,/media/30001915/untitled-1.png,VIEW,N/A,N/A,2516,False,VIEW,N/A,N/A,/coins/view/overview
VIN,N/A,VinChain,VinChain (VIN),1,782929,/media/27010882/vin.jpg,VIN,N/A,N/A,2358,False,VIN,1000000000,N/A,/coins/vin/overview
VIOR,Scrypt,ViorCoin,ViorCoin (VIOR),0,5407,/media/20469/viorjpeg.png,VIOR,N/A,PoW/PoS,375,False,VIOR,0,N/A,/coins/vior/overview
VIP,NIST5,VIP Tokens,VIP Tokens (VIP),0,22212,/media/351069/vip.png,VIP,N/A,PoW/PoS,644,False,VIP,90000000,N/A,/coins/vip/overview
VIRAL,Scrypt,Viral Coin,Viral Coin (VIRAL),0,6088,/media/20472/viral.png,VIRAL,N/A,PoS,379,False,VIRAL,0,N/A,/coins/viral/overview
VISIO,X13,Visio,Visio (VISIO),0,62648,/media/1383047/visio.png,VISIO,N/A,PoW/PoS,1176,False,VISIO,N/A,N/A,/coins/visio/overview
VIT,N/A,Vice Industry Token,Vice Industry Token (VIT),0,842430,/media/30001936/untitled-1.png,VIT,N/A,N/A,2521,False,VIT,4000000000,N/A,/coins/vit/overview
VIU,N/A,Viuly,Viuly (VIU),0,393656,/media/14913680/viu.png,VIU,N/A,N/A,1862,False,VIU,1000000000,N/A,/coins/viu/overview
VIVO,NeoScrypt,VIVO Coin,VIVO Coin (VIVO),0,341205,/media/12318337/vivo.png,VIVO,N/A,PoW,1707,False,VIVO,27000000,N/A,/coins/vivo/overview
VLD,N/A,Valid,Valid (VLD),0,856890,/media/30002154/vld.jpg,VLD,N/A,N/A,2602,False,VLD,1000000000 ,N/A,/coins/vld/overview
VLR,N/A,Valorem,Valorem (VLR),0,579189,/media/20780606/vlr.png,VLR,N/A,N/A,2001,False,VLR,200000000,N/A,/coins/vlr/overview
VLT,N/A,Veltor,Veltor (VLT),0,28225,/media/351514/vlt.png,VLT,N/A,PoW,751,False,VLT,N/A,N/A,/coins/vlt/overview
VLTC,X11,VaultCoin,VaultCoin (VLTC),0,50730,/media/1382738/vltc.png,VLTC,N/A,PoW,1116,False,VLTC,1000000000,N/A,/coins/vltc/overview
VLUX,N/A,VLUX,VLUX (VLUX),0,885469,/media/33187827/vlux.png,VLUX,N/A,N/A,2716,False,VLUX, 85000000,N/A,/coins/vlux/overview
VLX,Scrypt,Velox,Velox (VLX),0,804376,/media/30001652/vlx.png,VLX,N/A,PoS,2440,False,VLX,124000000,N/A,/coins/vlx/overview
VMC,Scrypt-n,VirtualMining Coin,VirtualMining Coin (VMC),0,5409,/media/19943/vmc.png,VMC,N/A,PoW,377,False,VMC,1000000,N/A,/coins/vmc/overview
VNT,N/A,Veredictum,Veredictum (VNT),0,229307,/media/1384015/vent.png,VNT,N/A,N/A,1473,False,VNT,N/A,N/A,/coins/vnt/overview
VOISE,N/A,Voise,Voise (VOISE),0,188352,/media/12318263/voise.png,VOISE,N/A,N/A,1366,False,VOISE,825578000,N/A,/coins/voise/overview
VOLT,PoS,BitVolt,BitVolt (VOLT),0,55553,/media/1382794/volt.png,VOLT,N/A,PoS,1134,False,VOLT,N/A,N/A,/coins/volt/overview
VOOT,X11,VootCoin,VootCoin (VOOT),0,5016,/media/19946/voot.png,VOOT,N/A,PoW,230,False,VOOT,0,N/A,/coins/voot/overview
VOT,Equihash,Votecoin,Votecoin (VOT),0,418671,/media/16746442/vot.png,VOT,N/A,PoW,1906,False,VOT,220000000,N/A,/coins/vot/overview
VOYA,N/A,Voyacoin,Voyacoin (VOYA),0,24305,/media/351304/voya.png,VOYA,N/A,PoW,688,False,VOYA,N/A,N/A,/coins/voya/overview
VPRC,Scrypt,VapersCoin,VapersCoin (VPRC),0,20718,/media/350951/vpc.png,VPRC,N/A,PoW,562,False,VPRC,42750000000,N/A,/coins/vprc/overview
VRA,N/A,Verasity,Verasity (VRA),0,886955,/media/33187836/vra.jpg,VRA,N/A,PoW,2721,False,VRA,12491500000,N/A,/coins/vra/overview
VRC,Scrypt,VeriCoin,VeriCoin (VRC),0,5017,/media/20068/vrc.png,VRC,N/A,PoST,231,False,VRC,0,N/A,/coins/vrc/overview
VRM,N/A,Verium,Verium (VRM),0,28323,/media/351522/vrm.png,VRM,N/A,PoWT,757,False,VRM,N/A,N/A,/coins/vrm/overview
VRP*,N/A,Prosense.tv,Prosense.tv (VRP),0,338140,/media/12318284/vrt.png,VRP,N/A,N/A,1677,False,VRP*,720000000,N/A,/coins/vrp/overview
VRS,N/A,Veros,Veros (VRS),0,33399,/media/352021/vrs.png,VRS,N/A,N/A,907,False,VRS,10000000000,N/A,/coins/vrs/overview
VSL,N/A,vSlice,vSlice (VSL),1,32880,/media/352113/d5a4e4f0366d3ae8cdbc45ad097f664c2557a55f0c237c1710-pimgpsh_fullsize_distr.jpg,VSL,N/A,N/A,892,False,VSL,33390496.0333,N/A,/coins/vsl/overview
VST,N/A,Vestarin,Vestarin (VST),0,692727,/media/25792598/vst.png,VST,N/A,N/A,2105,False,VST,200000000,N/A,/coins/vst/overview
VSX,X13,Vsync,Vsync (VSX),0,325279,/media/12318194/vsx.png,VSX,N/A,PoW/PoS,1643,False,VSX,N/A,N/A,/coins/vsx/overview
VTA,Scrypt,VirtaCoin,VirtaCoin (VTA),0,20680,/media/350945/vta.png,VTA,N/A,PoW,556,False,VTA,21000000000,N/A,/coins/vta/overview
VTC,Lyra2RE,Vertcoin,Vertcoin (VTC),0,5018,/media/19945/vtc.png,VTC,N/A,PoW,232,False,VTC,84000000,N/A,/coins/vtc/overview
VTN,N/A,Voltroon,Voltroon (VTN),0,848860,/media/30002055/vtn.jpg,VTN,N/A,N/A,2566,False,VTN,20000000,N/A,/coins/vtn/overview
VTR,Scrypt,Vtorrent,Vtorrent (VTR),0,5372,/media/20471/vtr.png,VTR,N/A,PoW/PoS,340,False,VTR,20000000,N/A,/coins/vtr/overview
VTX,SHA256,Vertex,Vertex (VTX),0,30377,/media/351754/vertex.png,VTX,N/A,PoW/PoS,854,False,VTX,N/A,N/A,/coins/vtx/overview
VTY,Scrypt,Victoriouscoin,Victoriouscoin (VTY),0,30126,/media/351733/vty.png,VTY,N/A,PoW/PoS,839,False,VTY,N/A,N/A,/coins/vty/overview
VUC,NIST5,Virta Unique Coin,Virta Unique Coin (VUC),0,182340,/media/1383773/vuc.png,VUC,N/A,PoW/PoS,1331,False,VUC,120000000,N/A,/coins/vuc/overview
VULC,Scrypt,Vulcano,Vulcano (VULC),0,777717,/media/27010840/vulc.jpg,VULC,N/A,PoS/PoW,2332,False,VULC,12000000000000,N/A,/coins/vulc/overview
VVI,N/A,VV Coin,VV Coin (VVI),0,781079,/media/27010869/vvi.png,VVI,N/A,N/A,2351,False,VVI,3000000000,N/A,/coins/vvi/overview
VZT,N/A,Vezt,Vezt (VZT),0,350476,/media/12318414/vzt.png,VZT,N/A,PoW,1744,False,VZT,125000000,N/A,/coins/vzt/overview
W3C,N/A,W3Coin,W3Coin (W3C),0,819663,/media/30001759/untitled-1.png,W3C,N/A,N/A,2481,False,W3C,200000000000,N/A,/coins/w3c/overview
WABI,N/A,WaBi,WaBi (WABI),0,340940,/media/12318331/wabi.png,WABI,N/A,N/A,1703,False,WABI,100000000,N/A,/coins/wabi/overview
WAGE,Quark,Digiwage,Digiwage (WAGE),0,645913,/media/30002011/digiwage.jpg,WAGE,N/A,PoS,2046,False,WAGE,120000000,N/A,/coins/wage/overview
WAN,N/A,Wanchain,Wanchain (WAN),0,240142,/media/9350742/wan.jpg,WAN,N/A,PoS,1519,False,WAN,N/A,N/A,/coins/wan/overview
WAND,N/A,WandX,WandX (WAND),0,320621,/media/12318182/wandxlogo_new1.png,WAND,N/A,N/A,1631,False,WAND,72000000,N/A,/coins/wand/overview
WARP,PoS,WarpCoin,WarpCoin (WARP),0,25822,/media/351395/warp.png,WARP,N/A,PoS,705,False,WARP,N/A,N/A,/coins/warp/overview
WASH,X11,WashingtonCoin,WashingtonCoin (WASH),0,32870,/media/351944/wash.png,WASH,N/A,PoW/PoS,889,False,WASH,170000000,N/A,/coins/wash/overview
WAVES,Leased POS,Waves,Waves (WAVES),1,20131,/media/27010639/waves2.png,WAVES,N/A,LPoS,507,False,WAVES,100000000,N/A,/coins/waves/overview
WAX,N/A,Worldwide Asset eXchange,Worldwide Asset eXchange (WAX),0,338541,/media/12318290/wax.png,WAX,N/A,N/A,1683,False,WAX,1850000000,N/A,/coins/wax/overview
WAY,X11,WayCoin,WayCoin (WAY),0,27681,/media/351433/way.png,WAY,N/A,PoS,724,False,WAY,100000000,N/A,/coins/way/overview
WBB,Scrypt,Wild Beast Coin,Wild Beast Coin (WBB),0,5319,/media/20477/wbb.png,WBB,N/A,PoW,288,False,WBB,2628000,N/A,/coins/wbb/overview
WBTC,Scrypt,WorldBTC,WorldBTC (WBTC),0,756132,/media/27010633/wbtc.png,WBTC,N/A,PoW/PoS,2229,False,WBTC,210000000,N/A,/coins/wbtc/overview
WBTC*,N/A,wBTC,wBTC (WBTC*),1,62640,/media/1383045/wbtc.png,WBTC*,N/A,N/A,1175,False,WBTC*,21000000,N/A,/coins/wbtcstar/overview
WC,Scrypt,WhiteCoin,WhiteCoin (WC),0,5019,/media/19948/wc.png,WC,N/A,PoW/PoS,233,False,WC,300000000,N/A,/coins/wc/overview
WCG,SHA256,World Crypto Gold,World Crypto Gold (WCG),0,679479,/media/20780799/wcg.png,WCG,N/A,Proof of Stake,2088,False,WCG,900000000,N/A,/coins/wcg/overview
WCT,N/A,Waves Community Token,Waves Community Token (WCT),0,43042,/media/350884/waves_1.png,WCT,N/A,N/A,1066,False,WCT,10000000,N/A,/coins/wct/overview
WDC,Scrypt,WorldCoin,WorldCoin (WDC),0,5020,/media/19949/wdc.png,WDC,N/A,PoW,234,False,WDC,265420800,N/A,/coins/wdc/overview
WEALTH,DPoS,WealthCoin,WealthCoin (WEALTH),0,42440,/media/1382392/wealth.png,WEALTH,N/A,PoS,1054,False,WEALTH,N/A,N/A,/coins/wealth/overview
WELL,N/A,Well,Well (WELL),0,653806,/media/20780732/well.png,WELL,N/A,N/A,2051,False,WELL,1500000000,N/A,/coins/well/overview
WEX,N/A,Wexcoin,Wexcoin (WEX),0,28882,/media/351564/wex.jpg,WEX,N/A,PoS,782,False,WEX,N/A,N/A,/coins/wex/overview
WGC,SHA256,World Gold Coin,World Gold Coin (WGC),0,24402,/media/351310/wgc.png,WGC,N/A,PoW,690,False,WGC,51000000,N/A,/coins/wgc/overview
WGO,N/A,WavesGO,WavesGO (WGO),1,61667,/media/1382998/wgo.png,WGO,N/A,N/A,1170,False,WGO,10000000,N/A,/coins/wgo/overview
WGR,PoS,Wagerr,Wagerr (WGR),0,178467,/media/1383736/wgr.png,WGR,N/A,N/A,1301,False,WGR,200000000,N/A,/coins/wgr/overview
WHL,Ethash,WhaleCoin,WhaleCoin (WHL),0,347067,/media/12318372/whl.png,WHL,N/A,PoW,1727,False,WHL,N/A,N/A,/coins/whl/overview
WIC,N/A,Wi Coin,Wi Coin (WIC),0,320551,/media/12318168/ocfkmb0t_400x400.jpg,WIC,N/A,N/A,1629,False,WIC,100000000,N/A,/coins/wic/overview
WIIX,N/A,Wiix,Wiix (WIIX),0,855136,/media/30002135/wiix.jpg,WIIX,N/A,N/A,2594,False,WIIX,2100000000,N/A,/coins/wiix/overview
WILD,N/A,Wild Crypto,Wild Crypto (WILD),0,339533,/media/12318298/wild.png,WILD,N/A,N/A,1688,False,WILD,100000000,N/A,/coins/wild/overview
WIN,N/A,WCoin,WCoin (WIN),0,876102,/media/32655846/win.jpg,WIN,N/A,N/A,2676,False,WIN,56642698.62073188,N/A,/coins/win/overview
WINE,Scrypt,WineCoin,WineCoin (WINE),0,32691,/media/351929/wine.png,WINE,N/A,PoW/PoS,883,False,WINE,1744000000,N/A,/coins/wine/overview
WINGS,N/A,Wings DAO,Wings DAO (WINGS),1,25946,/media/1382758/1wings.png,WINGS,N/A,N/A,712,False,WINGS,100000000,N/A,/coins/wings/overview
WINK,PoS,Wink,Wink (WINK),0,201962,/media/1383913/wink.png,WINK,N/A,PoS,1423,False,WINK,80000000,N/A,/coins/wink/overview
WINS,N/A,WinStars,WinStars (WINS),0,887666,/media/33187846/wins.png,WINS,N/A,N/A,2725,False,WINS,150000000,N/A,/coins/wins/overview
WISC,Scrypt,WisdomCoin,WisdomCoin (WISC),0,48794,/media/1382710/wisc.jpg,WISC,N/A,PoW/PoS,1110,False,WISC,N/A,N/A,/coins/wisc/overview
WISH,N/A,MyWish,MyWish (WISH),0,411620,/media/16404892/wish.png,WISH,N/A,N/A,1898,False,WISH,19803895.1235,N/A,/coins/wish/overview
WISH*,N/A,WishFinance,WishFinance (WISH*),0,326082,/media/12317980/wish.png,WISH*,N/A,N/A,1644,False,WISH*,N/A,N/A,/coins/wishstar/overview
WIZ,N/A,Crowdwiz,Crowdwiz (WIZ),0,310052,/media/12318081/wiz.png,WIZ,N/A,PoS,1592,False,WIZ,40000000,N/A,/coins/wiz/overview
WLK,N/A,Wolk,Wolk (WLK),0,198703,/media/1383892/wolk.png,WLK,N/A,N/A,1407,False,WLK,500000000,N/A,/coins/wlk/overview
WMC,X11,WMCoin,WMCoin (WMC),0,21871,/media/351044/wmc.png,WMC,N/A,PoS,631,False,WMC,1000000000,N/A,/coins/wmc/overview
WNET,N/A,Wavesnode.net,Wavesnode.net (WNET),0,206512,/media/1383982/wnet1.png,WNET,N/A,N/A,1468,False,WNET,10000000,N/A,/coins/wnet/overview
WOLF,X11,Insanity Coin,Insanity Coin (WOLF),0,3653,/media/20559/wolf.png,WOLF,N/A,PoW,31,False,WOLF,50000000,N/A,/coins/wolf/overview
WOMEN,Scrypt,WomenCoin,WomenCoin (WOMEN),0,348068,/media/12318379/women.png,WOMEN,N/A,PoW/PoS,1732,False,WOMEN,25000000000,N/A,/coins/women/overview
WOP,X11,WorldPay,WorldPay (WOP),0,37191,/media/1381982/wop.png,WOP,N/A,PoW/PoS,985,False,WOP,10000000,N/A,/coins/wop/overview
WORM,PoS,HealthyWorm,HealthyWorm (WORM),0,228162,/media/1384040/worm.png,WORM,N/A,PoS,1471,False,WORM,N/A,N/A,/coins/worm/overview
WPR,N/A,WePower,WePower (WPR),0,355242,/media/14543969/wpr.png,WPR,N/A,N/A,1752,False,WPR,746403007.29,N/A,/coins/wpr/overview
WRC,N/A,Worldcore,Worldcore (WRC),0,296844,/media/11999078/wrc.png,WRC,N/A,N/A,1566,False,WRC,245209299,N/A,/coins/wrc/overview
WRC*,Scrypt,WarCoin,WarCoin (WRC*),0,71873,/media/1383162/wrc.png,WRC*,N/A,PoW/PoS,1201,False,WRC*,11666667,N/A,/coins/wrcstar/overview
WRT,X11,WRTcoin,WRTcoin (WRT),0,299811,/media/12317963/wrt.png,WRT,N/A,PoW,1570,False,WRT,25000000000,N/A,/coins/wrt/overview
WSC,Scrypt,WiserCoin,WiserCoin (WSC),0,380671,/media/14913560/wsc.png,WSC,N/A,PoW,1830,False,WSC,22105263,N/A,/coins/wsc/overview
WSH,N/A,Wish Finance,Wish Finance (WSH),1,301216,/media/12317980/wish.png,WSH,N/A,N/A,1575,False,WSH,30000000,N/A,/coins/wsh/overview
WSX,X11,WeAreSatoshi,WeAreSatoshi (WSX),0,68084,/media/1383144/wsx.png,WSX,N/A,PoW/PoS,1190,False,WSX,N/A,N/A,/coins/wsx/overview
WT,N/A,WeToken,WeToken (WT),0,746288,/media/27010582/wt.png,WT,N/A,N/A,2201,False,WT,600000000,N/A,/coins/wt/overview
WTC,Ethash,Waltonchain,Waltonchain (WTC),0,299397,/media/12317959/wtc.png,WTC,N/A,N/A,1567,False,WTC,70000000,N/A,/coins/wtc/overview
WTT,N/A,Giga Watt,Giga Watt (WTT),0,179109,/media/1383742/wtt.png,WTT,N/A,N/A,1307,False,WTT,10800000,N/A,/coins/wtt/overview
WYR,N/A,Wyrify,Wyrify (WYR),0,350395,/media/12318413/wyr.png,WYR,N/A,N/A,1743,False,WYR,200000000,N/A,/coins/wyr/overview
X2,N/A,X2Coin,X2Coin (X2),0,29376,/media/351635/x2.png,X2,N/A,N/A,806,False,X2,N/A,N/A,/coins/x2/overview
X8X,N/A,X8Currency,X8Currency (X8X),0,450337,/media/16746588/x8x.png,X8X,N/A,N/A,1946,False,X8X,49733935.5804942909444764,N/A,/coins/x8x/overview
XAI,X11,SapienceCoin,SapienceCoin (XAI),0,5021,/media/20071/xai.png,XAI,N/A,PoB/PoS,235,False,XAI,0,N/A,/coins/xai/overview
XAI*,N/A,AICoin,AICoin (XAI*),0,191228,/media/1383840/xai.png,XAI*,N/A,N/A,1380,False,XAI*,N/A,N/A,/coins/xaistar/overview
XAS,N/A,Asch,Asch (XAS),0,218107,/media/1383997/xas.png,XAS,N/A,N/A,1451,False,XAS,100000000,N/A,/coins/xas/overview
XAU,SHA256,XauCoin,XauCoin (XAU),0,5283,/media/20479/xau.png,XAU,N/A,PoW,252,False,XAU,2100000,N/A,/coins/xau/overview
XAUR,N/A,Xaurum,Xaurum (XAUR),0,25082,/media/351382/xaur.png,XAUR,N/A,N/A,698,False,XAUR,127108472.4829,N/A,/coins/xaur/overview
XBC,Scrypt,BitcoinPlus,BitcoinPlus (XBC),0,5391,/media/20488/xbc.png,XBC,N/A,PoW/PoS,359,False,XBC,N/A,N/A,/coins/xbc/overview
XBL,N/A,Billionaire Token,Billionaire Token (XBL),0,375352,/media/14913541/xbl.png,XBL,N/A,N/A,1818,False,XBL,3315372,N/A,/coins/xbl/overview
XBOT,Scrypt,SocialXbotCoin,SocialXbotCoin (XBOT),0,5022,/media/20073/xbot.png,XBOT,N/A,PoW/PoS,236,False,XBOT,2000000,N/A,/coins/xbot/overview
XBP,X13,Black Pearl Coin,Black Pearl Coin (XBP),0,710087,/media/25792650/xbp.png,XBP,N/A,PoW/PoS,2127,False,XBP,50000000,N/A,/coins/xbp/overview
XBP*,N/A,BlitzPredict,BlitzPredict (XBP*),0,848148,/media/30002048/xbp.png,XBP*,N/A,N/A,2562,False,XBP*,950873123.2765999986522,N/A,/coins/xbpstar/overview
XBS,X11,Bitstake,Bitstake (XBS),0,5023,/media/351060/xbs_1.png,XBS,N/A,PoW/PoS,16,False,XBS,1300000,N/A,/coins/xbs/overview
XBTS,X11,Beats,Beats (XBTS),0,29131,/media/351617/beats.png,XBTS,N/A,PoW/PoS,793,False,XBTS,N/A,N/A,/coins/xbts/overview
XBTY,N/A,Bounty,Bounty (XBTY),0,769965,/media/27010787/xbty.jpg,XBTY,N/A,N/A,2299,False,XBTY,3141592,N/A,/coins/xbty/overview
XBY,N/A,XtraBYtes,XtraBYtes (XBY),0,66694,/media/20780760/xby.png,XBY,N/A,PoSign,1185,False,XBY,650000000,N/A,/coins/xby/overview
XC,X11,X11 Coin,X11 Coin (XC),0,5024,/media/19956/xc.png,XC,N/A,PoW/PoS,237,False,XC,5500000,N/A,/coins/xc/overview
XCASH,Scrypt,Xcash,Xcash (XCASH),0,5025,/media/20075/xcash.png,XCASH,N/A,PoW/PoS,238,False,XCASH,2400000,N/A,/coins/xcash/overview
XCD*,N/A,Capdax,Capdax (XCD*),0,726598,/media/27010488/xcd.png,XCD*,N/A,N/A,2171,False,XCD*,2500000000,N/A,/coins/xcdstar/overview
XCE,SHA256,Cerium,Cerium (XCE),0,6455,/media/20573/xce.png,XCE,N/A,PoW/PoS,415,False,XCE,2307925,N/A,/coins/xce/overview
XCI,CryptoNight,Cannabis Industry Coin,Cannabis Industry Coin (XCI),0,35955,/media/352312/xci.png,XCI,N/A,PoW,978,False,XCI,21000000,N/A,/coins/xci/overview
XCJ,N/A,CoinJob,CoinJob (XCJ),0,194689,/media/1383849/xcj.png,XCJ,N/A,N/A,1385,False,XCJ,200000000,N/A,/coins/xcj/overview
XCM,N/A,CoinMetro,CoinMetro (XCM),0,851104,/media/30002112/xcm1.jpg,XCM,N/A,N/A,2591,False,XCM,N/A,N/A,/coins/xcm/overview
XCN,M7 POW,Cryptonite,Cryptonite (XCN),0,5386,/media/20483/xcn.png,XCN,N/A,PoW,354,False,XCN,1840000000,N/A,/coins/xcn/overview
