,Algorithm,BuiltOn,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SmartContractAddress,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
CHW,N/A,7605,Chrysalis Coin,Chrysalis Coin (CHW),0,926379,/media/34836005/chw.png,CHW,N/A,N/A,N/A,3471,False,CHW,25000000,N/A,/coins/chw/overview
CHX,N/A,7605,Chainium,Chainium (CHX),0,877236,/media/32655866/chx.jpg,CHX,N/A,N/A,0x1460a58096d80a50a2f1f956dda497611fa4f165,2687,False,CHX,168956522,N/A,/coins/chx/overview
CIC,N/A,7605,CIChain,CIChain (CIC),0,925597,/media/34478411/cic.png,CIC,N/A,N/A,0xAD640689e6950b7453729A4686edB3FdfD754616,3346,False,CIC,N/A,N/A,/coins/cic/overview
CIF,X11,N/A,Crypto Improvement Fund,Crypto Improvement Fund (CIF),0,792268,/media/27010958/cif.png,CIF,N/A,PoW,N/A,2401,False,CIF,500000000,N/A,/coins/cif/overview
CIN,Multiple,N/A,CinderCoin,CinderCoin (CIN),0,4413,/media/20698/cinder.png,CIN,N/A,PoW/PoS,N/A,82,False,CIN,114000000,N/A,/coins/cin/overview
CINNI,Scrypt,N/A,CINNICOIN,CINNICOIN (CINNI),0,4414,/media/19651/cinni.jpeg,CINNI,N/A,PoW,N/A,83,False,CINNI,15000000,N/A,/coins/cinni/overview
CIR,SHA256D,N/A,CircuitCoin,CircuitCoin (CIR),0,43598,/media/1382506/cir.png,CIR,N/A,PoW/PoS,N/A,1074,False,CIR,3125000000,N/A,/coins/cir/overview
CIRC,vDPOS,N/A,CryptoCircuits,CryptoCircuits (CIRC),0,7484,/media/20603/circ.png,CIRC,N/A,PoS,N/A,421,False,CIRC,0,N/A,/coins/circ/overview
CIX,N/A,7605,Cryptonetix,Cryptonetix (CIX),0,328667,/media/12318222/cnxasterisco.png,CIX,N/A,N/A,0x1175a66a5c3343bbf06aa818bb482ddec30858e0,1653,False,CIX,100000000,N/A,/coins/cix/overview
CIX100,N/A,7605,Cryptoindex,Cryptoindex (CIX100),0,926444,/media/34836044/cryptoindex.png,CIX100,N/A,N/A,N/A,3485,False,CIX100,300000000,N/A,/coins/cix100/overview
CJ,X13,N/A,CryptoJacks,CryptoJacks (CJ),0,23734,/media/351234/cj.png,CJ,N/A,PoW/PoS,N/A,681,False,CJ,500000000,N/A,/coins/cj/overview
CJC,PoS,N/A,CryptoJournal,CryptoJournal (CJC),0,58125,/media/1382887/cjc.png,CJC,N/A,PoS,N/A,1153,False,CJC,100000000,N/A,/coins/cjc/overview
CJT,N/A,7605,ConnectJob Token,ConnectJob Token (CJT),0,382617,/media/14913575/cjt.png,CJT,N/A,PoS,0x3abdff32f76b42e7635bdb7e425f0231a5f3ab17,1839,False,CJT,300000000,N/A,/coins/cjt/overview
CKC,SHA256,N/A,Clockcoin,Clockcoin (CKC),0,22207,/media/351068/ckc.png,CKC,N/A,PoW/PoS,N/A,643,False,CKC,525000000,N/A,/coins/ckc/overview
CL,N/A,7605,CoinLancer,CoinLancer (CL),0,659393,/media/20780740/cl.png,CL,N/A,N/A,0xe81d72d14b1516e68ac3190a46c93302cc8ed60f,2053,False,CL,300000000,N/A,/coins/cl/overview
CLAM,N/A,N/A,CLAMS,CLAMS (CLAM),0,4416,/media/20020/clam.png,CLAM,N/A,PoW,N/A,85,False,CLAM,N/A,N/A,/coins/clam/overview
CLD,N/A,7605,Cloud,Cloud (CLD),0,370606,/media/14913452/cld.png,CLD,N/A,N/A,0xc3951d77737733174152532e8b0f27e2c4e9f0dc,1789,False,CLD,60000000,N/A,/coins/cld/overview
CLICK,PoS,N/A,Clickcoin,Clickcoin (CLICK),0,42680,/media/1382399/click.png,CLICK,N/A,PoS,N/A,1058,False,CLICK,N/A,N/A,/coins/click/overview
CLIN,N/A,7605,Clinicoin,Clinicoin (CLIN),0,785910,/media/27010911/clin.png,CLIN,N/A,N/A,N/A,2372,False,CLIN,3000000000,N/A,/coins/clin/overview
CLINT,SHA256,N/A,Clinton,Clinton (CLINT),0,22191,/media/351067/clint.png,CLINT,N/A,PoW,N/A,642,False,CLINT,2421227,N/A,/coins/clint/overview
CLN,N/A,7605,Colu Local Network,Colu Local Network (CLN),0,789504,/media/27010933/cln.png,CLN,N/A,N/A,0x4162178b78d6985480a308b2190ee5517460406d,2386,False,CLN,1540701333.592592592592614116,N/A,/coins/cln/overview
CLO,Ethash,N/A,Callisto Network,Callisto Network (CLO),0,811474,/media/30001680/clo.png,CLO,N/A,PoW,N/A,2451,False,CLO,6500000000,N/A,/coins/clo/overview
CLOAK,X13,N/A,CloakCoin,CloakCoin (CLOAK),0,4417,/media/19994/cloak.png,CLOAK,N/A,PoW/PoS,N/A,86,False,CLOAK,N/A,N/A,/coins/cloak/overview
CLOUT,N/A,7605,Clout,Clout (CLOUT),0,340816,/media/12318329/clout.png,CLOUT,N/A,N/A,0x5ba49fcf7c9dce67d6a9fc92cc51c8e77cba5b7a,1701,False,CLOUT,100000000,N/A,/coins/clout/overview
CLPX,N/A,4614,Chynge.net,Chynge.net (CLPX),0,925463,/media/34478326/xclp.png,CLPX,N/A,N/A,N/A,3316,False,CLPX,3200000000,N/A,/coins/clpx/overview
CLR,SHA256,N/A,CopperLark,CopperLark (CLR),0,4418,/media/19657/clr.png,CLR,N/A,PoW,N/A,87,False,CLR,27200000,N/A,/coins/clr/overview
CLRTY,N/A,7605,Clarity,Clarity (CLRTY),0,926646,/media/35264162/clrty.png,CLRTY,N/A,N/A,N/A,3537,False,CLRTY,240000000,N/A,/coins/clrty/overview
CLUB,Scrypt,N/A, ClubCoin, ClubCoin (CLUB),0,15869,/media/350609/club.png,CLUB,N/A,PoW/PoS,N/A,482,False,CLUB,N/A,N/A,/coins/club/overview
CLUD,Scrypt,N/A,CludCoin,CludCoin (CLUD),0,21359,/media/351027/clud.png,CLUD,N/A,PoW,N/A,608,False,CLUD,100200000,N/A,/coins/clud/overview
CLV,N/A,N/A,CleverCoin,CleverCoin (CLV),0,13074,/media/20727/clv.png,CLV,N/A,PoS/PoW,N/A,474,False,CLV,0,N/A,/coins/clv/overview
CMC,Scrypt,N/A,CosmosCoin,CosmosCoin (CMC),0,4419,/media/20019/cmc.png,CMC,N/A,PoW/PoS,N/A,88,False,CMC,100000000,N/A,/coins/cmc/overview
CMCT,N/A,7605,Crowd Machine,Crowd Machine (CMCT),0,793021,/media/27010977/cmct.png,CMCT,N/A,N/A,0x47bc01597798dcd7506dcca36ac4302fc93a8cfb,2404,False,CMCT,2000000000,N/A,/coins/cmct/overview
CMM,Equihash,N/A,Commercium ,Commercium  (CMM),0,899065,/media/33434296/commercium.jpg,CMM,N/A,N/A,N/A,2808,False,CMM,210000000 ,N/A,/coins/cmm/overview
CMOS,Quark,N/A,Cosmo,Cosmo (CMOS),0,843278,/media/30001956/cmos.jpg,CMOS,N/A,PoW,N/A,2525,False,CMOS,11892000,N/A,/coins/cmos/overview
CMP,N/A,N/A,Compcoin,Compcoin (CMP),0,176004,/media/1383692/compcoin.png,CMP,N/A,N/A,N/A,1287,False,CMP,10000000,N/A,/coins/cmp/overview
CMPCO,Scrypt,N/A,CampusCoin,CampusCoin (CMPCO),0,228090,/media/1384036/cmpo.png,CMPCO,N/A,PoW,N/A,1465,False,CMPCO,1010000000,N/A,/coins/cmpco/overview
CMS,N/A,7605,COMSA,COMSA (CMS),0,374358,/media/14913540/comsa.png,CMS,N/A,N/A,0xf83301c5cd1ccbb86f466a6b3c53316ed2f8465a,1817,False,CMS,219042298,N/A,/coins/cms/overview
CMT,N/A,7605,CyberMiles,CyberMiles (CMT),0,439963,/media/30002257/cmt.png,CMT,N/A,N/A,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f,1938,False,CMT,1000000000,N/A,/coins/cmt/overview
CMTC,Scrypt,N/A,CometCoin,CometCoin (CMTC),0,22354,/media/34835904/cmtc.png,CMTC,N/A,PoW,N/A,663,False,CMTC,2000000,N/A,/coins/cmtc/overview
CMZ,N/A,7605,CRYPTOMAGZ,CRYPTOMAGZ (CMZ),0,922779,/media/34477875/cmz.jpg,CMZ,N/A,N/A,0x9715f0e15eafd789647827218e0263ebdb11d54a,3100,False,CMZ,20000000 ,N/A,/coins/cmz/overview
CNAB,N/A,7605,Cannabium,Cannabium (CNAB),0,925620,/media/34478424/cnab.png,CNAB,N/A,N/A,N/A,3350,False,CNAB,738000000,N/A,/coins/cnab/overview
CNBC,Scrypt,N/A,Cash & Back Coin,Cash & Back Coin (CNBC),0,431621,/media/16746541/cnbc.png,CNBC,N/A,PoW/PoS,N/A,1928,False,CNBC,210000000,N/A,/coins/cnbc/overview
CNC,Scrypt,N/A,ChinaCoin,ChinaCoin (CNC),0,4420,/media/20021/cnc.png,CNC,N/A,PoW,N/A,89,False,CNC,462500000,N/A,/coins/cnc/overview
CND,N/A,7605,Cindicator,Cindicator (CND),0,338070,/media/12318283/cnd.png,CND,N/A,N/A,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,1676,False,CND,2000000005,N/A,/coins/cnd/overview
CND*,Scrypt,N/A,Canada eCoin,Canada eCoin (CND*),0,37746,/media/1381997/cnd.png,CND*,N/A,PoW,N/A,995,False,CND*,100000000,N/A,/coins/cndstar/overview
CNL,X11,N/A,ConcealCoin,ConcealCoin (CNL),0,4421,/media/20024/cnl.png,CNL,N/A,PoW,N/A,90,False,CNL,8500000,N/A,/coins/cnl/overview
CNMT,N/A,1183,Coinomat,Coinomat (CNMT),1,25825,/media/351396/cnmt.png,CNMT,N/A,N/A,N/A,706,False,CNMT,3000000,N/A,/coins/cnmt/overview
CNN,N/A,7605,Content Neutrality Network,Content Neutrality Network (CNN),0,890069,/media/33187884/cnn.png,CNN,N/A,N/A,0x8713d26637cf49e1b6b4a7ce57106aabc9325343,2744,False,CNN,100000000000,N/A,/coins/cnn/overview
CNO,Scrypt,N/A,Coino,Coino (CNO),0,42438,/media/1382391/coino.png,CNO,N/A,PoW,N/A,1053,False,CNO,N/A,N/A,/coins/cno/overview
CNT,X11,N/A,Centurion,Centurion (CNT),0,70365,/media/1383150/cnt.png,CNT,N/A,PoW/PoS,N/A,1195,False,CNT,N/A,N/A,/coins/cnt/overview
CNX,N/A,N/A,Cryptonex,Cryptonex (CNX),0,289715,/media/11417632/cnx.png,CNX,N/A,N/A,N/A,1562,False,CNX,210000000,N/A,/coins/cnx/overview
CO2,N/A,7605,CO2 Token,CO2 Token (CO2),0,802875,/media/30001624/co2.png,CO2,N/A,N/A,0xB4b1D2C217EC0776584CE08D3DD98F90EDedA44b,2438,False,CO2,290742.137465643879088234,N/A,/coins/co2/overview
COAL,CryptoNight,N/A,BitCoal,BitCoal (COAL),0,453581,/media/16746586/coal.png,COAL,N/A,PoW,N/A,1947,False,COAL,12500000,N/A,/coins/coal/overview
COB,N/A,7605,Cobinhood,Cobinhood (COB),0,234811,/media/9350700/cobin.png,COB,N/A,N/A,0xb2f7eb1f2c37645be61d73953035360e768d81e6,1502,False,COB,1000000000,N/A,/coins/cob/overview
COC,SHA256,N/A,Community Coin,Community Coin (COC),0,30925,/media/351872/coc.png,COC,N/A,PoW,N/A,876,False,COC,36129032,N/A,/coins/coc/overview
COE,N/A,20131,CoEval,CoEval (COE),0,201701,/media/1383911/coe.png,COE,N/A,N/A,N/A,1421,False,COE,100000,N/A,/coins/coe/overview
COFI,N/A,7605,CoinFi,CoinFi (COFI),0,436320,/media/16746551/cofi.png,COFI,N/A,N/A,0x3136ef851592acf49ca4c825131e364170fa32b3,1933,False,COFI,300000000,N/A,/coins/cofi/overview
COG,SHA256D,N/A,Cognitio,Cognitio (COG),0,899528,/media/33434304/cog.jpg,COG,N/A,PoW/PoS,N/A,2811,False,COG,7500000,N/A,/coins/cog/overview
COI,N/A,7605,Coinnec,Coinnec (COI),0,909713,/media/34077446/coi.jpg,COI,N/A,N/A,0x8a1a9477a710d470575b1da335e524b27e8091ab,2902,False,COI,1000000000,N/A,/coins/coi/overview
COIN,N/A,7605,Coinvest,Coinvest (COIN),0,384859,/media/14913606/coin.png,COIN,N/A,N/A,0x5e8f855966d638135a968861e80dda722291b06d,1846,False,COIN,107142857,N/A,/coins/coin/overview
COIN*,SHA256,N/A,Coin,Coin (COIN*),0,20714,/media/350950/coin.png,COIN*,N/A,PoW,N/A,561,False,COIN*,N/A,N/A,/coins/coinstar/overview
COLX,X11,N/A,ColossusCoinXT,ColossusCoinXT (COLX),0,20903,/media/12318297/colx.png,COLX,N/A,PoS,N/A,582,False,COLX,21000000000,N/A,/coins/colx/overview
COMM,Scrypt,N/A,Community Coin,Community Coin (COMM),0,4422,/media/19661/comm.png,COMM,N/A,PoW/PoS,N/A,91,False,COMM,1000000000,N/A,/coins/comm/overview
COMP,X11,N/A,Compound Coin,Compound Coin (COMP),0,789170,/media/27010929/comp.jpg,COMP,N/A,PoW/PoS,N/A,2384,False,COMP,N/A,N/A,/coins/comp/overview
CON,X13,N/A,Paycon,Paycon (CON_),0,12985,/media/20717/con_.png,CON_,N/A,PoW/PoS,N/A,469,False,CON,50000000,N/A,/coins/con_/overview
CONI,N/A,7605,CoinBene,CoinBene (CONI),0,920245,/media/34477765/coni.png,CONI,N/A,N/A,0x2c949199cff14aeaf1b33d64db01f48fb57f592f,3039,False,CONI,1000000000,N/A,/coins/coni/overview
COOL,Scrypt,N/A,CoolCoin,CoolCoin (COOL),0,4423,/media/19658/cool.png,COOL,N/A,PoS,N/A,92,False,COOL,100000000,N/A,/coins/cool/overview
COR,N/A,5324,Corion,Corion (COR),0,179980,/media/1383753/cor.png,COR,N/A,N/A,N/A,1316,False,COR,N/A,N/A,/coins/cor/overview
CORAL,X13,N/A,CoralPay,CoralPay (CORAL),0,35232,/media/352225/coral.png,CORAL,N/A,PoS,N/A,962,False,CORAL,21000000,N/A,/coins/coral/overview
CORE,N/A,20131,Core Group Asset,Core Group Asset (CORE),0,205549,/media/1383950/core.png,CORE,N/A,N/A,N/A,1433,False,CORE,1000000,N/A,/coins/core/overview
COSM,N/A,7605,CosmoChain,CosmoChain (COSM),0,925380,/media/34478279/cosmochain.png,COSM,N/A,N/A,0xc4bcd64cb216d49fd3c643a32762f34626b45a1a,3297,False,COSM,973000000,N/A,/coins/cosm/overview
COSS,N/A,7605,COSS,COSS (COSS),1,186335,/media/1383802/coss.png,COSS,N/A,N/A,0x9e96604445ec19ffed9a5e8dd7b50a29c899a10c,1356,False,COSS,200000000,N/A,/coins/coss/overview
COT,N/A,7605,CoTrader,CoTrader (COT),0,924916,/media/34478031/cot.png,COT,N/A,N/A,N/A,3174,False,COT,100000000,N/A,/coins/cot/overview
COTI,N/A,N/A,COTI,COTI (COTI),0,925272,/media/34478216/coti.png,COTI,N/A,N/A,N/A,3265,False,COTI,2000000000,N/A,/coins/coti/overview
COU,N/A,7605,Couchain,Couchain (COU),0,912904,/media/34155542/cou.jpg,COU,N/A,N/A,0xf091cf09c51811819db705710e9634b8bf18f164,2954,False,COU,30000000000 ,N/A,/coins/cou/overview
COV,N/A,7605,Covesting,Covesting (COV),0,338426,/media/12318288/cov.png,COV,N/A,N/A,0xe2fb6529ef566a080e6d23de0bd351311087d567,1682,False,COV,20000000,N/A,/coins/cov/overview
COV*,SHA256,N/A,CovenCoin,CovenCoin (COV*),0,28151,/media/351503/cov.png,COV*,N/A,PoW/PoS,N/A,740,False,COV*,33000,N/A,/coins/covstar/overview
COVAL,Multiple,N/A,Circuits of Value,Circuits of Value (COVAL),0,28276,/media/351519/coval.png,COVAL,N/A,PoW,N/A,754,False,COVAL,1000000000,N/A,/coins/coval/overview
COX,Scrypt,N/A,CobraCoin,CobraCoin (COX),0,22326,/media/351083/cox.png,COX,N/A,PoW/PoS,N/A,656,False,COX,1012941176,N/A,/coins/cox/overview
CPAY,N/A,7605,CryptoPay,CryptoPay (CPAY),0,345674,/media/12318303/cpay.png,CPAY,N/A,N/A,0x0Ebb614204E47c09B6C3FeB9AAeCad8EE060E23E,1723,False,CPAY,320000000,N/A,/coins/cpay/overview
CPC,X11,N/A,CapriCoin,CapriCoin (CPC),0,15282,/media/350560/cpc.png,CPC,N/A,PoW/PoS,N/A,479,False,CPC,208000000,N/A,/coins/cpc/overview
CPC*,N/A,7605,CPChain,CPChain (CPC*),0,730988,/media/27010501/cpc.png,CPC*,N/A,N/A,0xfAE4Ee59CDd86e3Be9e8b90b53AA866327D7c090,2176,False,CPC*,1000000000,N/A,/coins/cpcstar/overview
CPEX,N/A,7605,CoinPulseToken,CoinPulseToken (CPEX),0,371095,/media/34478354/cpex.png,CPEX,N/A,N/A,0xb787d4eac8899730bb8c57fc3c998c49c5244ec0,1799,False,CPEX,100000000,N/A,/coins/cpex/overview
CPL,N/A,7605,CoinPlace Token,CoinPlace Token (CPL),0,815308,/media/30001726/cpl.png,CPL,N/A,N/A,0x4b3c89e986b12f83eed896f02410429a7289526e,2470,False,CPL,35000000,N/A,/coins/cpl/overview
CPLO,N/A,7605,Cpollo,Cpollo (CPLO),0,926409,/media/34836023/cpl.png,CPLO,N/A,N/A,0x7064aab39a0fcf7221c3396719d0917a65e35515,3479,False,CPLO,20000000000,N/A,/coins/cplo/overview
CPN,Scrypt,N/A,CompuCoin,CompuCoin (CPN),0,625381,/media/20780661/cpn.png,CPN,N/A,PoW,N/A,2033,False,CPN,35000000,N/A,/coins/cpn/overview
CPT,N/A,7605,Cryptaur,Cryptaur (CPT),0,918997,/media/34477750/cpt.jpg,CPT,N/A,N/A,0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,3032,False,CPT,27662180148,N/A,/coins/cpt/overview
CPX,N/A,27368,Apex Token,Apex Token (CPX),0,866357,/media/30002271/cpx.jpg,CPX,N/A,DPoS,N/A,2646,False,CPX,N/A,N/A,/coins/cpx/overview
CPY,N/A,7605,COPYTRACK,COPYTRACK (CPY),0,692869,/media/25792602/cpy.png,CPY,N/A,N/A,0xf44745fbd41f6a1ba151df190db0564c5fcc4410,2107,False,CPY,53000748,N/A,/coins/cpy/overview
CQST,X13,N/A,ConquestCoin,ConquestCoin (CQST),0,37195,/media/1381983/cqst.png,CQST,N/A,PoW/PoS,N/A,986,False,CQST,30000000,N/A,/coins/cqst/overview
CRAB,X15,N/A,CrabCoin,CrabCoin (CRAB),0,30179,/media/351739/crab.png,CRAB,N/A,PoW/PoS,N/A,845,False,CRAB,N/A,N/A,/coins/crab/overview
CRACK,X11,N/A,CrackCoin,CrackCoin (CRACK),0,4424,/media/20023/crack.png,CRACK,N/A,PoW,N/A,93,False,CRACK,6000000,N/A,/coins/crack/overview
CRAFT,Scrypt,N/A,Craftcoin,Craftcoin (CRAFT),0,29711,/media/351681/craft.png,CRAFT,N/A,PoW/PoS,N/A,816,False,CRAFT,49411760,N/A,/coins/craft/overview
CRAIG,X11,N/A,CraigsCoin,CraigsCoin (CRAIG),0,4425,/media/20022/craig.png,CRAIG,N/A,PoS,N/A,15,False,CRAIG,30000000,N/A,/coins/craig/overview
CRAVE,Scrypt,N/A,CraveCoin,CraveCoin (CRAVE),0,5304,/media/20242/crave.png,CRAVE,N/A,PoW/PoS,N/A,273,False,CRAVE,N/A,N/A,/coins/crave/overview
CRAVE*,SHA256,N/A,Crave-NG,Crave-NG (CRAVE*),0,752942,/media/33434207/crave.png,CRAVE*,N/A,PoS,N/A,2218,False,CRAVE*,1000000000,N/A,/coins/cravestar/overview
CRB,N/A,7605,Creditbit ,Creditbit  (CRB),0,17547,/media/1382904/crbit1.png,CRB,N/A,N/A,0xAef38fBFBF932D1AeF3B808Bc8fBd8Cd8E1f8BC5,495,False,CRB,16504333,N/A,/coins/crb/overview
CRC**,N/A,7605,CryCash,CryCash (CRC**),0,737393,/media/27010559/crc.png,CRC**,N/A,N/A,0xf41e5fbc2f6aac200dd8619e121ce1f05d150077,2191,False,CRC**,7057137,N/A,/coins/crcstarstar/overview
CRC***,NeoScrypt,N/A,CrowdCoin,CrowdCoin (CRC***),0,586482,/media/20780611/crc.png,CRC***,N/A,PoW,N/A,2006,False,CRC***,N/A,N/A,/coins/crcstarstarstar/overview
CRDNC,SHA256,N/A,Credence Coin,Credence Coin (CRDNC),0,771782,/media/27010816/crdnc.png,CRDNC,N/A,PoW/PoS,N/A,2311,False,CRDNC,25000000,N/A,/coins/crdnc/overview
CRDS,Argon2,N/A,Credits,Credits (CRDS),0,392253,/media/14913675/crds.png,CRDS,N/A,N/A,N/A,1861,False,CRDS,95000000,N/A,/coins/crds/overview
CRE,SHA256,N/A,Credits,Credits (CRE),0,8692,/media/20683/cre.png,CRE,N/A,PoW/PoS,N/A,448,False,CRE,30000000,N/A,/coins/cre/overview
CRE*,N/A,7605,Creditcoin,Creditcoin (CRE*),0,777990,/media/27010928/creditcoin_logo.png,CRE*,N/A,N/A,0xd7b45e0cdae4c65ef2c7e19152eeb3074e20f98f,2333,False,CRE*,2000000000,N/A,/coins/crestar/overview
CRE**,N/A,7605,Cybereits Token ,Cybereits Token  (CRE**),0,918576,/media/34477742/cre.jpg,CRE**,N/A,N/A,0x61f33Da40594cEc1E3Dc900FaF99F861D01e2e7D,3027,False,CRE**,1000000000,N/A,/coins/crestarstar/overview
CREA,Keccak,N/A,CreativeChain,CreativeChain (CREA),0,48787,/media/1382709/crea.png,CREA,N/A,PoW,N/A,1109,False,CREA,115000000,N/A,/coins/crea/overview
CRED,N/A,7605,Verify,Verify (CRED),0,502301,/media/16746661/cred.png,CRED,N/A,N/A,N/A,1971,False,CRED,29997543,N/A,/coins/cred/overview
CREDO,N/A,7605,Credo,Credo (CREDO),0,382450,/media/14913573/credo-1.png,CREDO,N/A,N/A,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,1837,False,CREDO,1374729257.2286,N/A,/coins/credo/overview
CREVA,X11,N/A,Creva Coin,Creva Coin (CREVA),0,6451,/media/20571/creva.png,CREVA,N/A,N/A,N/A,411,False,CREVA,0,N/A,/coins/creva/overview
CRF,N/A,7605,CrowdForce ,CrowdForce  (CRF),0,926525,/media/34836083/crf.png,CRF,N/A,N/A,N/A,3501,False,CRF,1000000000,N/A,/coins/crf/overview
CRGO,N/A,7605,CargoCoin,CargoCoin (CRGO),0,925097,/media/34478122/cargocoin.png,CRGO,N/A,N/A,0xf49cdd50ad408d387d611f88a647179c3de3492b,3224,False,CRGO,100000000,N/A,/coins/crgo/overview
CRL,N/A,7605,Cryptelo Coin,Cryptelo Coin (CRL),0,766461,/media/27010747/crl.png,CRL,N/A,N/A,0x7123027d76a5135e66b3a365efaba2b55de18a62,2273,False,CRL,500000000,N/A,/coins/crl/overview
CRM,X11,N/A,Cream,Cream (CRM),0,202049,/media/1383915/cream.png,CRM,N/A,PoW/PoS,N/A,1424,False,CRM,100000000,N/A,/coins/crm/overview
CRNK,X11,N/A,CrankCoin,CrankCoin (CRNK),0,30121,/media/351731/crnk.png,CRNK,N/A,PoS/PoW,N/A,837,False,CRNK,N/A,N/A,/coins/crnk/overview
CROAT,CryptoNight,N/A,Croat,Croat (CROAT),0,731596,/media/27010508/croat.png,CROAT,N/A,PoW,N/A,2180,False,CROAT,100467441,N/A,/coins/croat/overview
CRON,N/A,7605,Cryptocean,Cryptocean (CRON),0,925046,/media/34478098/cron.jpg,CRON,N/A,N/A,N/A,3210,False,CRON,10000000000,N/A,/coins/cron/overview
CRPS,X11,N/A,CryptoPennies,CryptoPennies (CRPS),0,41590,/media/1382338/crps.png,CRPS,N/A,PoS,N/A,1034,False,CRPS,1593.15,N/A,/coins/crps/overview
CRPT,N/A,7605,Crypterium,Crypterium (CRPT),0,710597,/media/25792665/crpt.png,CRPT,N/A,N/A,0x80a7e048f37a50500351c204cb407766fa3bae7f,2132,False,CRPT,44029585.582941042857136217,N/A,/coins/crpt/overview
CRS,Lyra2Z,N/A,Cryptoreal,Cryptoreal (CRS),0,876290,/media/32655853/crs.jpg,CRS,N/A,N/A,N/A,2679,False,CRS,10883430.20109789,N/A,/coins/crs/overview
CRS*,N/A,7605,CRYSTALS,CRYSTALS (CRS*),0,925024,/media/34478085/crs.png,CRS*,N/A,N/A,N/A,3204,False,CRS*,247000000,N/A,/coins/crsstar/overview
CRTM,N/A,7605,Cryptum,Cryptum (CRTM),0,255489,/media/9350790/crtm.jpg,CRTM,N/A,Proof of Ownership,N/A,1551,False,CRTM,1100000,N/A,/coins/crtm/overview
CRU,X11,N/A,Curium,Curium (CRU),0,811480,/media/30001681/cru.png,CRU,N/A,PoW,N/A,2452,False,CRU,22000000,N/A,/coins/cru/overview
CRV,N/A,7605,Cravy,Cravy (CRV),0,926746,/media/35264220/crv.png,CRV,N/A,N/A,N/A,3573,False,CRV,16355000000,N/A,/coins/crv/overview
CRW,SHA256,N/A,Crown Coin,Crown Coin (CRW),0,7586,/media/1383378/crw1.png,CRW,N/A,PoW,N/A,430,False,CRW,42000000,N/A,/coins/crw/overview
CRWD,N/A,7605,CRWD Network,CRWD Network (CRWD),0,926683,/media/35264185/crwt.png,CRWD,N/A,N/A,N/A,3550,False,CRWD,45000000,N/A,/coins/crwd/overview
CRX,Scrypt,N/A,ChronosCoin,ChronosCoin (CRX),0,25613,/media/351388/crx.png,CRX,N/A,PoW/PoS,N/A,701,False,CRX,N/A,N/A,/coins/crx/overview
CRYP,Equihash,N/A,CrypticCoin,CrypticCoin (CRYP),0,925695,/media/34478470/cryp.png,CRYP,N/A,PoW,N/A,3364,True,CRYP,7600000000,N/A,/coins/cryp/overview
CRYPT,X11,N/A,CryptCoin,CryptCoin (CRYPT),0,4427,/media/19664/crypt.png,CRYPT,N/A,PoW,N/A,95,False,CRYPT,18000000,N/A,/coins/crypt/overview
CS,DPoS,N/A,CryptoSpots,CryptoSpots (CS),0,35813,/media/352292/cs.png,CS,N/A,DPoS,N/A,969,False,CS,5000000,N/A,/coins/cs/overview
CS*,N/A,7605,Credits,Credits (CS*),0,799597,/media/27011045/cs.png,CS*,N/A,N/A,0x46b9ad944d1059450da1163511069c718f699d31,2421,False,CS*,249471071.21,N/A,/coins/csstar/overview
CSC,N/A,N/A,CasinoCoin,CasinoCoin (CSC),0,4428,/media/34478059/csc.png,CSC,N/A,PoC,N/A,96,False,CSC,40000000000,N/A,/coins/csc/overview
CSH,SHA256,N/A,CashOut,CashOut (CSH),0,31004,/media/351877/csh.png,CSH,N/A,PoW,N/A,878,False,CSH,100000000,N/A,/coins/csh/overview
CSMIC,SHA256D,N/A,Cosmic,Cosmic (CSMIC),0,34215,/media/352115/csmic.png,CSMIC,N/A,PoW/PoS,N/A,929,False,CSMIC,N/A,N/A,/coins/csmic/overview
CSNO,N/A,7605,BitDice,BitDice (CSNO),1,202714,/media/1383922/csno.png,CSNO,N/A,N/A,0x29d75277ac7f0335b2165d0895e8725cbf658d73,1428,False,CSNO,100000000,N/A,/coins/csno/overview
CSP,N/A,7605,Caspian,Caspian (CSP),0,925807,/media/34478535/csp.png,CSP,N/A,N/A,0xA6446D655a0c34bC4F05042EE88170D056CBAf45,3381,False,CSP,1000000000,N/A,/coins/csp/overview
CST,N/A,7605,Casper API,Casper API (CST),0,925033,/media/34478091/cst.jpg,CST,N/A,N/A,N/A,3206,False,CST,440000000,N/A,/coins/cst/overview
CSTL,X11,N/A,Castle,Castle (CSTL),0,400432,/media/15887421/cstl.png,CSTL,N/A,PoW/PoS,N/A,1872,False,CSTL, 200000000,N/A,/coins/cstl/overview
CTC,Scrypt,N/A,CarterCoin,CarterCoin (CTC),0,28083,/media/351496/ctc.png,CTC,N/A,PoW/PoS,N/A,733,False,CTC,90000000,N/A,/coins/ctc/overview
CTIC,N/A,N/A,Coinmatic,Coinmatic (CTIC),0,79887,/media/1383267/ctic.png,CTIC,N/A,N/A,N/A,1223,False,CTIC,N/A,N/A,/coins/ctic/overview
